
pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8121323529411765, with Std: 0.020167041399856575

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8158088235294118, with Std: 0.018119443426987656

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8147058823529413, with Std: 0.026162421874495877

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8110294117647058, with Std: 0.01960631121466674

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8143382352941178, with Std: 0.01926203955504372

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8205882352941176, with Std: 0.025986172128047474

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.801470588235294, with Std: 0.04047458513094967

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7613970588235295, with Std: 0.031258649322058796

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7073529411764706, with Std: 0.03550031677815681

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6161764705882353, with Std: 0.05217998529179463

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8191176470588235, with Std: 0.025460720137030567

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8235294117647058, with Std: 0.023882914366046636

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8198529411764707, with Std: 0.02224188744449142

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8176470588235294, with Std: 0.026775208023578124

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7783088235294119, with Std: 0.024883487145614308

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7275735294117648, with Std: 0.04720937544341998

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6584558823529412, with Std: 0.038293578314626174

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.817279411764706, with Std: 0.022305604870761046

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8253676470588236, with Std: 0.018547056258278575

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8308823529411764, with Std: 0.02573529411764706

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8238970588235294, with Std: 0.025811337233041305

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7933823529411764, with Std: 0.02019048561433232

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7242647058823529, with Std: 0.0278053976488074

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6334558823529413, with Std: 0.05573340249777721

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8224264705882351, with Std: 0.019595967604759457

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8279411764705882, with Std: 0.01650731200047328

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8305147058823529, with Std: 0.02214749335563094

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8209558823529411, with Std: 0.009308080074391295

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7926470588235295, with Std: 0.025798242342424744

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7172794117647059, with Std: 0.032571537583504305

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5334558823529412, with Std: 0.09807911259279226

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.823529411764706, with Std: 0.024826386788432544

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8242647058823529, with Std: 0.021613144789263326

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8261029411764707, with Std: 0.019318095081499485

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.820220588235294, with Std: 0.017279411764705897

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7937500000000002, with Std: 0.030823210174592903

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6852941176470588, with Std: 0.06265551586109613

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.6
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.29926470588235293, with Std: 0.030459287025305853

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8334558823529411, with Std: 0.016931733734808004

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8286764705882353, with Std: 0.016540032175297058

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8227941176470589, with Std: 0.016588991430409532

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8136029411764707, with Std: 0.015340180915459604

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.6
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7448529411764706, with Std: 0.06310691482683921

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.7
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.41470588235294115, with Std: 0.1465598151328143

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.7
FM ratio = 0.8
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.29926470588235293, with Std: 0.030459287025305853

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.8
FM ratio = 0.2
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8308823529411764, with Std: 0.023598244905707652

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.8
FM ratio = 0.3
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8242647058823529, with Std: 0.02161314478926333

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.8
FM ratio = 0.4
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8025735294117646, with Std: 0.016113681618243465

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.8
FM ratio = 0.5
augmentation type = COMP
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6665441176470589, with Std: 0.1514067719650803

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
