
pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.2
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2591170825335893, with Std: 0.013653296924206332

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.3
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2577735124760076, with Std: 0.01915639337876202

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.4
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.26928982725527834, with Std: 0.01547577331692994

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.5
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.26717850287907874, with Std: 0.019757557362699067

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.6
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2600767754318618, with Std: 0.008063705004836866

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.7
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25489443378119, with Std: 0.019701539225115302

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.2
FM ratio = 0.8
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25585412667946256, with Std: 0.02275990163768332

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.2
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25681381957773514, with Std: 0.0163046146499772

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.3
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2646833013435701, with Std: 0.014853863657540005

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.4
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25470249520153543, with Std: 0.015967859451664547

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.5
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2610364683301344, with Std: 0.014541801861708881

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.6
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2571976967370442, with Std: 0.019536292744720882

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.7
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25489443378119003, with Std: 0.018345954925679118

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.3
FM ratio = 0.8
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.26199616122840685, with Std: 0.02033552792746363

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.2
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2556621880998081, with Std: 0.013701779882974855

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.3
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25854126679462575, with Std: 0.017821370505091836

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.4
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.26065259117082534, with Std: 0.01729152495900992

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.5
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2514395393474088, with Std: 0.020654588947891916

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.6
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25585412667946256, with Std: 0.019892283267702433

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.7
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.24644913627639156, with Std: 0.018868646030624967

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.4
FM ratio = 0.8
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.2587332053742802, with Std: 0.0230294303600317

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.2
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25355086372360847, with Std: 0.01717716247357419

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.3
augmentation type = COMP
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.25950095969289827, with Std: 0.013012246646202149

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
ER ratio = 0.5
FM ratio = 0.4
augmentation type = COMP
augmentation side = high
