
pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.36899563318777295, with Std: 0.03639155746725007

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.36506550218340617, with Std: 0.03521719677494488

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3707423580786026, with Std: 0.034298245355212115

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.36593886462882097, with Std: 0.04141801118385808

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3624454148471616, with Std: 0.03836835395019878

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.35938864628820966, with Std: 0.030570804581986268

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3633187772925764, with Std: 0.027810800573084125
