
pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.3606986899563319, with Std: 0.02763195112586267

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.3572052401746725, with Std: 0.03442865213000353

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.36157205240174667, with Std: 0.036785047491096394

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.35152838427947597, with Std: 0.025926511107069686

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.3462882096069869, with Std: 0.029166252365932822

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.35458515283842795, with Std: 0.027810800573084115

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ND
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.337117903930131, with Std: 0.026833696935785516
