
pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3646288209606987, with Std: 0.023045021488137574

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3615720524017467, with Std: 0.020276308761998072

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3510917030567686, with Std: 0.01726962439588226

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3528384279475983, with Std: 0.03353074903135802

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3462882096069869, with Std: 0.023357343441600578

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.34585152838427946, with Std: 0.023255068918243405

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ND
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.3349344978165939, with Std: 0.033202134332349975
