
pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.1
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.6619760479041916, with Std: 0.01983518811383459

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.6817365269461078, with Std: 0.022246536512886127

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.6907185628742514, with Std: 0.021509012042708758

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.7014970059880239, with Std: 0.01958962611132407

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.7068862275449102, with Std: 0.016532260709315582

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.7080838323353293, with Std: 0.01752200585437071

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.7119760479041916, with Std: 0.013641659580712007

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ER
augmentation side = high
(E): FBGCN_AUG Mean Accuracy: 0.7137724550898203, with Std: 0.015041744535425722
