
pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.1
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7731617647058824, with Std: 0.027807828084339226

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7852941176470588, with Std: 0.023837595702128414

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7955882352941177, with Std: 0.029144001739127075

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7996323529411764, with Std: 0.02891351873681142

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8040441176470589, with Std: 0.033212593106086284

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8128676470588234, with Std: 0.03355270411289077

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8158088235294118, with Std: 0.03427014915108149

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8165441176470587, with Std: 0.030558968606347575

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.1
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.755514705882353, with Std: 0.031465519795264144

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7588235294117647, with Std: 0.033218697053166234

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7819852941176471, with Std: 0.034763551911772377

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7974264705882352, with Std: 0.027972602296510673

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.7966911764705883, with Std: 0.027218300027764115

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8029411764705883, with Std: 0.029786219265483953

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8121323529411765, with Std: 0.02859386669904524

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ER
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.8264705882352942, with Std: 0.03144618350050456
