
pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.25124760076775426, with Std: 0.014142370072774392

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.24875239923224565, with Std: 0.012355836421828078

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.2516314779270633, with Std: 0.017953184125101898

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.25355086372360847, with Std: 0.020102302081815068

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.2522072936660269, with Std: 0.014445211303053186

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.2556621880998081, with Std: 0.019228375871582645

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ER
augmentation side = low
(E): FBGCN_AUG Mean Accuracy: 0.25854126679462575, with Std: 0.021305182341650672
