
pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.2
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5842105263157894, with Std: 0.08632220772029855

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.3
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5947368421052632, with Std: 0.0942972256166785

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.4
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6105263157894738, with Std: 0.09176629354822471

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.5
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5894736842105261, with Std: 0.09930506454796427

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.6
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5947368421052632, with Std: 0.07824246709115004

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.7
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6157894736842107, with Std: 0.0882266032328432

pretrain epochs = 200
pre_learning_rate = 0.0005
hidden_dim = 128
second hidden_dim = 128
augmentation ratio = 0.8
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.6105263157894738, with Std: 0.10578816443285147

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.2
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5368421052631579, with Std: 0.10989796325169

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.3
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5263157894736843, with Std: 0.11288216099751167

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.4
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5263157894736843, with Std: 0.10259783520851541

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.5
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5473684210526315, with Std: 0.11815760168759816

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.6
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.531578947368421, with Std: 0.09832390364352317

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.7
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5894736842105264, with Std: 0.11482854857511278

pretrain epochs = 100
pre_learning_rate = 0.0005
hidden_dim = 256
second hidden_dim = 256
augmentation ratio = 0.8
augmentation type = ND
augmentation side = both
(E): FBGCN_AUG Mean Accuracy: 0.5894736842105263, with Std: 0.09930506454796424
